Offence_Month,Rego_State,Sum_Pen_Amt,Sum_Inf_Count
Apr 2011,ACT,575384.0,3072
Apr 2011,NSW,345527.0,1712
Apr 2011,NT,942.0,6
Apr 2011,QLD,28401.0,143
Apr 2011,SA,7121.0,33
Apr 2011,TAS,1686.0,10
Apr 2011,VIC,56667.0,278
Apr 2011,WA,5085.0,21
Apr 2012,ACT,436994.0,2302
Apr 2012,NSW,293138.0,1472
Apr 2012,NT,972.0,6
Apr 2012,QLD,19621.0,112
Apr 2012,SA,4381.0,26
Apr 2012,TAS,810.0,5
Apr 2012,VIC,46240.0,248
Apr 2012,WA,4394.0,26
Apr 2013,ACT,516146.0,2547
Apr 2013,NSW,307566.0,1466
Apr 2013,NT,334.0,2
Apr 2013,QLD,22028.0,100
Apr 2013,SA,3588.0,20
Apr 2013,TAS,1554.0,8
Apr 2013,VIC,44066.0,224
Apr 2013,WA,4417.0,22
Apr 2014,ACT,489721.0,2090
Apr 2014,NSW,305465.0,1301
Apr 2014,NT,3112.0,4
Apr 2014,QLD,26154.0,103
Apr 2014,SA,3149.0,17
Apr 2014,TAS,2573.0,12
Apr 2014,VIC,46714.0,205
Apr 2014,WA,3116.0,14
Apr 2015,ACT,652815.0,2357
Apr 2015,NSW,343631.0,1324
Apr 2015,NT,860.0,4
Apr 2015,QLD,30065.0,121
Apr 2015,SA,5885.0,25
Apr 2015,TAS,3155.0,14
Apr 2015,VIC,49539.0,194
Apr 2015,WA,3480.0,15
Apr 2016,ACT,789552.0,2844
Apr 2016,NAV,0.0,1
Apr 2016,NSW,458377.0,1616
Apr 2016,NT,1296.0,5
Apr 2016,QLD,27133.0,103
Apr 2016,SA,5730.0,23
Apr 2016,TAS,2596.0,11
Apr 2016,VIC,55232.0,194
Apr 2016,WA,5297.0,18
Apr 2017,ACT,1212733.0,3114
Apr 2017,NSW,697188.0,1562
Apr 2017,NT,1922.0,7
Apr 2017,QLD,55272.0,103
Apr 2017,SA,11818.0,26
Apr 2017,TAS,2123.0,8
Apr 2017,VIC,152165.0,236
Apr 2017,WA,10736.0,25
Apr 2018,ACT,1638506.0,3681
Apr 2018,NSW,1111660.0,2211
Apr 2018,NT,3705.0,7
Apr 2018,QLD,90376.0,147
Apr 2018,SA,17561.0,43
Apr 2018,TAS,7505.0,19
Apr 2018,VIC,160483.0,299
Apr 2018,WA,9851.0,31
Apr 2019,ACT,974014.0,2359
Apr 2019,NSW,612420.0,1286
Apr 2019,NT,584.0,2
Apr 2019,QLD,47340.0,89
Apr 2019,SA,7147.0,14
Apr 2019,VIC,107816.0,186
Apr 2019,WA,5813.0,13
Apr 2020,ACT,1361250.0,2675
Apr 2020,NSW,604452.0,1141
Apr 2020,NT,297.0,1
Apr 2020,QLD,67070.0,92
Apr 2020,SA,2229.0,6
Apr 2020,TAS,939.0,3
Apr 2020,VIC,93236.0,113
Apr 2020,WA,4604.0,14
Apr 2021,ACT,1208966.0,2637
Apr 2021,NSW,739363.0,1493
Apr 2021,NT,594.0,2
Apr 2021,QLD,34265.0,81
Apr 2021,SA,14028.0,31
Apr 2021,TAS,1212.0,4
Apr 2021,VIC,94834.0,190
Apr 2021,WA,5023.0,15
Apr 2022,ACT,2333760.0,5519
Apr 2022,NSW,2645955.0,5307
Apr 2022,NT,6744.0,16
Apr 2022,QLD,190120.0,372
Apr 2022,SA,47665.0,97
Apr 2022,TAS,12077.0,30
Apr 2022,VIC,461715.0,871
Apr 2022,WA,26114.0,59
Apr 2023,ACT,1547251.0,3448
Apr 2023,NSW,1369021.0,2613
Apr 2023,NT,4432.0,8
Apr 2023,QLD,102877.0,214
Apr 2023,SA,25172.0,45
Apr 2023,TAS,9765.0,20
Apr 2023,VIC,260604.0,476
Apr 2023,WA,17347.0,46
Apr 2024,ACT,3590863.0,5647
Apr 2024,NSW,2035075.0,2954
Apr 2024,NT,2684.0,4
Apr 2024,QLD,141604.0,224
Apr 2024,SA,55948.0,77
Apr 2024,TAS,6050.0,11
Apr 2024,VIC,327813.0,440
Apr 2024,WA,19626.0,43
Aug 2010,ACT,603097.0,2931
Aug 2010,ARM,1891.0,7
Aug 2010,NSW,368049.0,1859
Aug 2010,NT,716.0,4
Aug 2010,QLD,24029.0,118
Aug 2010,RAF,157.0,2
Aug 2010,SA,4729.0,30
Aug 2010,TAS,1215.0,7
Aug 2010,VIC,41922.0,225
Aug 2010,WA,5288.0,32
Aug 2011,ACT,543470.0,2813
