source,intermediate,target,value
Diplomatic,300 (1) Driver using mobile device,MOBILE DEVICE DETECTION CAMERA,51
Diplomatic,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,86
Diplomatic,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,30
Diplomatic,Enter Intersection When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,2
Diplomatic,Enter Intersection When Traffic Light Red,RED LIGHT AND SPEED CAMERA,2
Diplomatic,Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,71
Diplomatic,Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,251
Diplomatic,Non-School Zone Exceed Speed Limit <= 15 Km/H,FIXED ONLY SPEED CAMERA,574
Diplomatic,Non-School Zone Exceed Speed Limit <= 15 Km/H,MOBILE SPEED CAMERA,483
Diplomatic,Non-School Zone Exceed Speed Limit <= 15 Km/H,POINT TO POINT CAMERA,212
Diplomatic,Non-School Zone Exceed Speed Limit <= 15 Km/H,RED LIGHT AND SPEED CAMERA,942
Diplomatic,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,93
Diplomatic,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,110
Diplomatic,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,POINT TO POINT CAMERA,15
Diplomatic,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,RED LIGHT AND SPEED CAMERA,121
Diplomatic,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,FIXED ONLY SPEED CAMERA,3
Diplomatic,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,4
Diplomatic,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,POINT TO POINT CAMERA,3
Diplomatic,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,RED LIGHT AND SPEED CAMERA,7
Diplomatic,Non-School Zone Exceed Speed Limit By > 45 Km/H,FIXED ONLY SPEED CAMERA,5
Diplomatic,Non-School Zone Exceed Speed Limit By > 45 Km/H,RED LIGHT AND SPEED CAMERA,2
Diplomatic,Non-school zone exceed speed limit by <= 15km/h,FIXED ONLY SPEED CAMERA,237
Diplomatic,Non-school zone exceed speed limit by <= 15km/h,MOBILE SPEED CAMERA,375
Diplomatic,Non-school zone exceed speed limit by <= 15km/h,POINT TO POINT CAMERA,80
Diplomatic,Non-school zone exceed speed limit by <= 15km/h,RED LIGHT AND SPEED CAMERA,876
Diplomatic,Proceed When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,12
Diplomatic,Proceed When Traffic Light Red,RED LIGHT AND SPEED CAMERA,28
Diplomatic,School Zone  Exceed Speed Limit By <= 15 Km/H,MOBILE SPEED CAMERA,479
Diplomatic,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,72
Diplomatic,School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,1
Embassy Staff - Privilege,300 (1) Driver using mobile device,MOBILE DEVICE DETECTION CAMERA,8
Embassy Staff - Privilege,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,19
Embassy Staff - Privilege,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,5
Embassy Staff - Privilege,Enter Intersection When Traffic Light Red,RED LIGHT AND SPEED CAMERA,1
Embassy Staff - Privilege,Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,11
Embassy Staff - Privilege,Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,46
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit <= 15 Km/H,FIXED ONLY SPEED CAMERA,62
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit <= 15 Km/H,MOBILE SPEED CAMERA,60
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit <= 15 Km/H,POINT TO POINT CAMERA,15
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit <= 15 Km/H,RED LIGHT AND SPEED CAMERA,122
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,11
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,10
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,POINT TO POINT CAMERA,1
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,RED LIGHT AND SPEED CAMERA,11
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,FIXED ONLY SPEED CAMERA,1
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,1
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit By > 45 Km/H,FIXED ONLY SPEED CAMERA,1
Embassy Staff - Privilege,Non-School Zone Exceed Speed Limit By > 45 Km/H,RED LIGHT AND SPEED CAMERA,1
Embassy Staff - Privilege,Non-school zone exceed speed limit by <= 15km/h,FIXED ONLY SPEED CAMERA,31
Embassy Staff - Privilege,Non-school zone exceed speed limit by <= 15km/h,MOBILE SPEED CAMERA,60
Embassy Staff - Privilege,Non-school zone exceed speed limit by <= 15km/h,POINT TO POINT CAMERA,15
